dept_co,dept_nombre,muni_co,muni_nombre,mesas_total,mesas_escrutadas,pct_mesas_escrutadas,total_votantes,pct_participacion,total_abstencion,votos_nulos,votos_no_marcados,votos_blancos,votos_validos,codcan,codpar,candidato_presidente,candidato_vicepresidente,votos_candidato,pct_votos_candidato
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,1086,22.91
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,238,5.02
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,140,2.95
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,80,1.68
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,3,8,RAÚL SANTIAGO BOTERO JARAMILLO,CARLOS FERNANDO CUEVAS ROMERO,64,1.35
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,20,0.42
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,8,0.16
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,3,0.06
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,2,0.04
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,2,0.04
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,1,0.02
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,1,0.02
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,2712,46.38
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,1,7,IVÁN CEPEDA CASTRO,AIDA MARINA QUILCUE VIVAS,2401,41.06
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,11,2,PALOMA VALENCIA LASERNA,JUAN DANIEL OVIEDO ARANGO,342,5.84
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,136,2.32
15,CUNDINAMARCA,15004,AGUA DE DIOS,28,28,100.0,5940,60.24,3919,82,11,97,5847,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,64,1.09
