id_puesto,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0789,SEC.ESC.AGRIPINA MONTES DEL VALLE,01,CALLE 95 #42 B 44,-75.5502659868118,6.28659434443413,verde,1.0,2170.0,3964.0,54.74,22.0,488.0,268.0,0.0,0.0,0.0,928.0,0.0,0.0,2170.0,0.0,0.0,0.0,0.0
p0790,SEC.ESC. AGRUPACION COLOMBIA,11,CL 44A # 75-68,-75.595119112568,6.25071752235642,verde,1.0,5217.0,7285.0,71.61,28.0,756.0,416.0,0.0,0.0,0.0,839.0,0.0,0.0,5217.0,0.0,0.0,0.0,0.0
p0791,SEC. ESC. AMOR AL NIÑO,13,CR 115 39BD 06,-75.6248593685902,6.25324918926772,amarillo,2.0,940.0,2433.0,38.64,13.0,160.0,214.0,0.0,0.0,0.0,1061.0,0.0,0.0,940.0,0.0,0.0,0.0,0.0
p0792,SEC. ESC. ARZOBISPO GARCIA,02,KR 49 # 98-48,-75.556001844875,6.29012490159723,verde,1.0,3059.0,5970.0,51.24,29.0,517.0,499.0,0.0,0.0,0.0,1775.0,0.0,0.0,3059.0,0.0,0.0,0.0,0.0
p0793,SEC. ESC. BALDOMERO SANIN CANO,03,CR 37 75A 2,-75.5482673472501,6.26904844797042,verde,1.0,1524.0,3519.0,43.31,20.0,219.0,334.0,0.0,0.0,0.0,1358.0,0.0,0.0,1524.0,0.0,0.0,0.0,0.0
p0794,SEC. ESC. BETANIA,13,CR 110A 34 82,-75.6226885277241,6.24629391111066,verde,1.0,3299.0,5600.0,58.91,27.0,457.0,429.0,0.0,0.0,0.0,1286.0,0.0,0.0,3299.0,0.0,0.0,0.0,0.0
p0795,SEC. ESC. CARLOS OBANDO VELASCO,11,CRA 67A No 42-24,-75.5854983842642,6.24673496727358,verde,1.0,974.0,1575.0,61.84,6.0,128.0,175.0,0.0,0.0,0.0,285.0,0.0,0.0,974.0,0.0,0.0,0.0,0.0
p0796,SEC. ESC. CARPINELO AMAPOLITA,01,CALLE 97 # 23-12,-75.5382524545343,6.28690166227518,amarillo,2.0,435.0,1233.0,35.28,7.0,114.0,62.0,0.0,0.0,0.0,565.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0
p0797,SEC ESC CRISTO REY APOLO,15,CRA 50G No 3SUR-34,-75.583687767027,6.20450835044405,verde,1.0,1397.0,2605.0,53.63,10.0,182.0,343.0,0.0,0.0,0.0,648.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0
p0798,SEC. ESC. DIVINA PROVIDENCIA,01,CL 108 NO 43B - 17,-75.5491582190566,6.2975553113832,verde,1.0,2104.0,4638.0,45.36,34.0,342.0,392.0,0.0,0.0,0.0,1649.0,0.0,0.0,2104.0,0.0,0.0,0.0,0.0
p0799,SEC.ESC. EL DIAMANTE,07,CL 79A # 86-09,-75.5871971239626,6.28520345049698,verde,1.0,3449.0,5730.0,60.19,25.0,541.0,403.0,0.0,0.0,0.0,1230.0,0.0,0.0,3449.0,0.0,0.0,0.0,0.0
p0800,SEC. ESC. EL PEDREGAL,06,CLL 104E No 74-109,-75.5728664236175,6.30334006271393,verde,1.0,1289.0,2958.0,43.58,15.0,141.0,401.0,0.0,0.0,0.0,1090.0,0.0,0.0,1289.0,0.0,0.0,0.0,0.0
p0801,SEC.ESC.EL SOCORRO,13,CARRERA 102B No. 47B - 32,-75.6185430186657,6.25955270349591,verde,1.0,1366.0,3238.0,42.19,18.0,156.0,384.0,0.0,0.0,0.0,1245.0,0.0,0.0,1366.0,0.0,0.0,0.0,0.0
p0802,SEC. ESC. FIDEL ANTONIO SALDARRIAGA,02,CRA 48 No 103B-01,-75.5538980576811,6.29402005807331,verde,1.0,2248.0,4661.0,48.23,25.0,365.0,346.0,0.0,0.0,0.0,1545.0,0.0,0.0,2248.0,0.0,0.0,0.0,0.0
p0803,SEC. ESC. GUILLERMO ECHAVARRIA MISAS,14,CRA 43B No 9-61,-75.5713495831761,6.21064991099361,verde,1.0,1399.0,2118.0,66.05,8.0,310.0,186.0,0.0,0.0,0.0,209.0,0.0,0.0,1399.0,0.0,0.0,0.0,0.0
p0804,SEC. ESC. JOSE DE SAN MARTIN,09,CL 39 # 38- 21,-75.5627515557534,6.23748430283596,verde,1.0,4760.0,8339.0,57.08,35.0,613.0,777.0,0.0,0.0,0.0,2073.0,0.0,0.0,4760.0,0.0,0.0,0.0,0.0
p0805,SEC. ESC. JUAN CANCIO RESTREPO,09,CLL 45 No 31-63,-75.5554700448286,6.23847367980456,verde,1.0,642.0,1335.0,48.09,6.0,74.0,156.0,0.0,0.0,0.0,442.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0
p0806,SEC ESC JUAN DE DIOS ARANZAZU,13,CLL 42 No 105 - 42,-75.6199631874349,6.25541349608787,verde,1.0,1174.0,2352.0,49.91,9.0,155.0,189.0,0.0,0.0,0.0,793.0,0.0,0.0,1174.0,0.0,0.0,0.0,0.0
p0807,SEC ESC JUAN NEPOMUCENO MORALES,60,CALLE 62 No 127 6,-75.6320606964533,6.2790176543896,verde,1.0,944.0,1949.0,48.44,10.0,114.0,238.0,0.0,0.0,0.0,616.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0
p0808,SEC.ESC.JULIA AGUDELO,08,CL 58 # 28-58,-75.5489175623223,6.24982456301068,verde,1.0,5574.0,10727.0,51.96,54.0,983.0,750.0,0.0,0.0,0.0,3166.0,0.0,0.0,5574.0,0.0,0.0,0.0,0.0
p0809,SEC ESC JULIO ARBOLEDA,04,CR 51 78 12,-75.5625270968661,6.27284114134122,verde,1.0,661.0,1496.0,44.18,7.0,88.0,132.0,0.0,0.0,0.0,588.0,0.0,0.0,661.0,0.0,0.0,0.0,0.0
